,date,areaCode,newCasesByPublishDate,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newDeaths28DaysByPublishDate,newVirusTestsBySpecimenDate,newCasesPCROnlyBySpecimenDate,newPCRTestsBySpecimenDate
0,2022-09-15,E92000001,27055.0,,,437.0,,,
1,2022-09-14,E92000001,0.0,2752.0,,0.0,43463.0,183.0,5495.0
2,2022-09-13,E92000001,0.0,4122.0,,0.0,47440.0,628.0,5050.0
3,2022-09-12,E92000001,0.0,4463.0,12.0,0.0,56102.0,822.0,2936.0
4,2022-09-11,E92000001,0.0,3789.0,27.0,0.0,36249.0,510.0,2347.0
5,2022-09-10,E92000001,0.0,2794.0,24.0,0.0,32629.0,544.0,4857.0
6,2022-09-09,E92000001,0.0,3043.0,37.0,0.0,42674.0,801.0,4982.0
7,2022-09-08,E92000001,28258.0,3226.0,38.0,745.0,54162.0,778.0,10444.0
8,2022-09-07,E92000001,0.0,3726.0,53.0,0.0,67482.0,887.0,21792.0
9,2022-09-06,E92000001,0.0,3926.0,48.0,0.0,80897.0,1013.0,31720.0
10,2022-09-05,E92000001,0.0,4375.0,60.0,0.0,100110.0,1148.0,33429.0
11,2022-09-04,E92000001,0.0,3755.0,67.0,0.0,66661.0,668.0,25301.0
12,2022-09-03,E92000001,0.0,2965.0,49.0,0.0,66415.0,650.0,31308.0
13,2022-09-02,E92000001,0.0,3230.0,68.0,0.0,86726.0,903.0,36472.0
14,2022-09-01,E92000001,0.0,3758.0,67.0,0.0,100617.0,989.0,37968.0
15,2022-08-31,E92000001,24908.0,3959.0,89.0,456.0,110493.0,1005.0,42094.0
16,2022-08-30,E92000001,0.0,4471.0,59.0,0.0,142683.0,1146.0,44736.0
17,2022-08-29,E92000001,0.0,3934.0,65.0,0.0,126118.0,818.0,36399.0
18,2022-08-28,E92000001,0.0,2881.0,75.0,0.0,80280.0,660.0,31469.0
19,2022-08-27,E92000001,0.0,2586.0,72.0,0.0,86529.0,612.0,38048.0
20,2022-08-26,E92000001,0.0,2986.0,70.0,0.0,115674.0,924.0,38869.0
21,2022-08-25,E92000001,0.0,3250.0,68.0,0.0,151211.0,934.0,50241.0
22,2022-08-24,E92000001,27732.0,3894.0,65.0,723.0,137883.0,1076.0,49621.0
23,2022-08-23,E92000001,0.0,4015.0,78.0,0.0,141562.0,1204.0,45429.0
24,2022-08-22,E92000001,0.0,4504.0,85.0,0.0,193485.0,1255.0,49791.0
25,2022-08-21,E92000001,0.0,3532.0,91.0,0.0,102859.0,772.0,34835.0
26,2022-08-20,E92000001,0.0,2825.0,94.0,0.0,99808.0,833.0,40746.0
27,2022-08-19,E92000001,0.0,3312.0,76.0,0.0,133743.0,984.0,41685.0
28,2022-08-18,E92000001,0.0,3857.0,86.0,0.0,162077.0,1040.0,49135.0
29,2022-08-17,E92000001,35168.0,4380.0,81.0,895.0,146166.0,1234.0,51228.0
30,2022-08-16,E92000001,0.0,4826.0,105.0,0.0,156199.0,1364.0,53019.0
31,2022-08-15,E92000001,0.0,5592.0,123.0,0.0,200019.0,1552.0,49635.0
32,2022-08-14,E92000001,0.0,4776.0,106.0,0.0,105912.0,1026.0,35342.0
33,2022-08-13,E92000001,0.0,3967.0,129.0,0.0,104027.0,1080.0,43065.0
34,2022-08-12,E92000001,0.0,4773.0,133.0,0.0,148063.0,1444.0,52187.0
35,2022-08-11,E92000001,0.0,5436.0,144.0,0.0,172865.0,1589.0,55443.0
36,2022-08-10,E92000001,46284.0,5984.0,116.0,990.0,156523.0,1629.0,56080.0
37,2022-08-09,E92000001,0.0,6459.0,121.0,0.0,168655.0,1803.0,58702.0
38,2022-08-08,E92000001,0.0,7222.0,129.0,0.0,212567.0,1983.0,52056.0
39,2022-08-07,E92000001,0.0,5895.0,128.0,0.0,119395.0,1273.0,39634.0
40,2022-08-06,E92000001,0.0,4850.0,115.0,0.0,121096.0,1187.0,51459.0
41,2022-08-05,E92000001,0.0,5858.0,121.0,0.0,168963.0,1782.0,62577.0
42,2022-08-04,E92000001,0.0,6517.0,120.0,0.0,185589.0,1751.0,57773.0
43,2022-08-03,E92000001,57277.0,7410.0,153.0,1075.0,171000.0,2048.0,60002.0
44,2022-08-02,E92000001,0.0,8159.0,149.0,0.0,191092.0,2179.0,70895.0
45,2022-08-01,E92000001,0.0,8812.0,151.0,0.0,225855.0,2338.0,56967.0
46,2022-07-31,E92000001,0.0,7666.0,142.0,0.0,128572.0,1566.0,39579.0
47,2022-07-30,E92000001,0.0,6611.0,129.0,0.0,127582.0,1604.0,49453.0
48,2022-07-29,E92000001,0.0,7581.0,172.0,0.0,177486.0,2179.0,60592.0
49,2022-07-28,E92000001,0.0,8334.0,172.0,0.0,205523.0,2295.0,61941.0
50,2022-07-27,E92000001,81951.0,9430.0,145.0,1197.0,193239.0,2547.0,68445.0
51,2022-07-26,E92000001,0.0,10477.0,141.0,0.0,205590.0,2833.0,70086.0
52,2022-07-25,E92000001,0.0,11927.0,147.0,0.0,250877.0,3015.0,62831.0
53,2022-07-24,E92000001,0.0,10213.0,178.0,0.0,146728.0,1911.0,44260.0
54,2022-07-23,E92000001,0.0,8905.0,156.0,0.0,144453.0,2102.0,52580.0
55,2022-07-22,E92000001,0.0,11174.0,148.0,0.0,204652.0,2852.0,68166.0
56,2022-07-21,E92000001,0.0,12788.0,150.0,0.0,227041.0,3043.0,65710.0
57,2022-07-20,E92000001,123568.0,14535.0,209.0,1100.0,220823.0,3454.0,75786.0
58,2022-07-19,E92000001,0.0,14863.0,302.0,0.0,201062.0,3614.0,61705.0
59,2022-07-18,E92000001,0.0,16915.0,161.0,0.0,265811.0,3742.0,67893.0
60,2022-07-17,E92000001,0.0,15701.0,192.0,0.0,177123.0,2512.0,59915.0
61,2022-07-16,E92000001,0.0,13671.0,159.0,0.0,165703.0,2599.0,60134.0
62,2022-07-15,E92000001,0.0,16625.0,142.0,0.0,237407.0,3592.0,80231.0
63,2022-07-14,E92000001,0.0,19340.0,141.0,0.0,255301.0,3826.0,73094.0
64,2022-07-13,E92000001,171877.0,21640.0,159.0,850.0,253660.0,4330.0,88048.0
65,2022-07-12,E92000001,0.0,24372.0,163.0,0.0,251263.0,4701.0,76396.0
66,2022-07-11,E92000001,0.0,27196.0,148.0,0.0,295070.0,4932.0,66962.0
67,2022-07-10,E92000001,0.0,23037.0,150.0,0.0,197059.0,3006.0,67775.0
68,2022-07-09,E92000001,0.0,19351.0,145.0,0.0,172601.0,2855.0,58620.0
69,2022-07-08,E92000001,0.0,22169.0,132.0,0.0,219963.0,4040.0,57654.0
70,2022-07-07,E92000001,0.0,24048.0,119.0,0.0,265665.0,4309.0,88347.0
71,2022-07-06,E92000001,120170.0,26726.0,131.0,301.0,250329.0,4325.0,74387.0
72,2022-07-05,E92000001,0.0,28115.0,113.0,0.0,260631.0,4575.0,77001.0
73,2022-07-04,E92000001,0.0,30382.0,117.0,0.0,307334.0,4793.0,68336.0
74,2022-07-03,E92000001,0.0,25170.0,97.0,0.0,186438.0,2856.0,50044.0
75,2022-07-02,E92000001,0.0,19588.0,106.0,0.0,173224.0,2729.0,57380.0
76,2022-07-01,E92000001,20731.0,21059.0,92.0,87.0,235823.0,3712.0,77432.0
77,2022-06-30,E92000001,21732.0,21505.0,84.0,68.0,248073.0,3698.0,70466.0
78,2022-06-29,E92000001,21428.0,21719.0,85.0,117.0,231788.0,3582.0,73400.0
79,2022-06-28,E92000001,21415.0,21868.0,68.0,117.0,242364.0,3721.0,78732.0
80,2022-06-27,E92000001,47332.0,21896.0,73.0,84.0,284068.0,3765.0,68926.0
81,2022-06-26,E92000001,0.0,18036.0,66.0,0.0,168370.0,2111.0,49142.0
82,2022-06-25,E92000001,0.0,14472.0,71.0,0.0,155251.0,2218.0,54434.0
83,2022-06-24,E92000001,16489.0,15622.0,55.0,68.0,201370.0,2977.0,62200.0
84,2022-06-23,E92000001,17481.0,16696.0,72.0,64.0,227543.0,2823.0,68391.0
85,2022-06-22,E92000001,17202.0,17760.0,65.0,77.0,204642.0,2828.0,64162.0
86,2022-06-21,E92000001,16432.0,17528.0,56.0,105.0,215494.0,2846.0,67187.0
87,2022-06-20,E92000001,36452.0,16918.0,60.0,64.0,265281.0,2858.0,66236.0
88,2022-06-19,E92000001,0.0,14521.0,58.0,0.0,158043.0,1538.0,45448.0
89,2022-06-18,E92000001,0.0,11636.0,51.0,0.0,142019.0,1587.0,48923.0
90,2022-06-17,E92000001,12065.0,11640.0,52.0,65.0,189026.0,2018.0,64449.0
91,2022-06-16,E92000001,12080.0,11911.0,58.0,50.0,211653.0,1917.0,62989.0
92,2022-06-15,E92000001,13401.0,12386.0,46.0,48.0,194657.0,1963.0,64810.0
93,2022-06-14,E92000001,12031.0,12659.0,37.0,89.0,204822.0,2050.0,66748.0
94,2022-06-13,E92000001,28249.0,12955.0,37.0,57.0,260610.0,2092.0,68252.0
95,2022-06-12,E92000001,0.0,10716.0,31.0,0.0,149568.0,1228.0,47949.0
96,2022-06-11,E92000001,0.0,8466.0,43.0,0.0,141617.0,1273.0,56648.0
97,2022-06-10,E92000001,9217.0,9154.0,53.0,52.0,195296.0,1622.0,68478.0
98,2022-06-09,E92000001,9741.0,9585.0,36.0,60.0,219250.0,1690.0,69552.0
99,2022-06-08,E92000001,9298.0,9953.0,41.0,85.0,199843.0,1684.0,68662.0
100,2022-06-07,E92000001,10240.0,9481.0,40.0,132.0,208243.0,1683.0,73085.0
101,2022-06-06,E92000001,29155.0,9799.0,51.0,78.0,264736.0,1576.0,76073.0
102,2022-06-05,E92000001,0.0,8351.0,45.0,0.0,152232.0,1081.0,53373.0
103,2022-06-04,E92000001,0.0,6277.0,48.0,0.0,135126.0,1026.0,55431.0
104,2022-06-03,E92000001,0.0,5582.0,35.0,0.0,153638.0,855.0,57405.0
105,2022-06-02,E92000001,0.0,5081.0,46.0,0.0,160349.0,824.0,56314.0
106,2022-06-01,E92000001,5313.0,5713.0,40.0,90.0,182329.0,1072.0,69973.0
107,2022-05-31,E92000001,5802.0,5732.0,56.0,110.0,194687.0,1079.0,70456.0
108,2022-05-30,E92000001,13590.0,5927.0,59.0,67.0,244016.0,1063.0,74412.0
109,2022-05-29,E92000001,0.0,4686.0,36.0,0.0,145894.0,676.0,52865.0
110,2022-05-28,E92000001,0.0,4153.0,53.0,0.0,146042.0,753.0,64211.0
111,2022-05-27,E92000001,4661.0,4492.0,54.0,61.0,206415.0,960.0,81657.0
112,2022-05-26,E92000001,5293.0,4818.0,63.0,60.0,234760.0,914.0,77942.0
113,2022-05-25,E92000001,5810.0,5188.0,44.0,91.0,220365.0,945.0,81532.0
114,2022-05-24,E92000001,6352.0,5593.0,45.0,127.0,228167.0,1024.0,84079.0
115,2022-05-23,E92000001,14592.0,6247.0,60.0,85.0,287132.0,1147.0,83546.0
116,2022-05-22,E92000001,0.0,5151.0,62.0,0.0,165444.0,727.0,59940.0
117,2022-05-21,E92000001,0.0,4243.0,63.0,0.0,155428.0,862.0,65618.0
118,2022-05-20,E92000001,6003.0,5046.0,67.0,80.0,216526.0,1115.0,80238.0
119,2022-05-19,E92000001,6704.0,5783.0,58.0,123.0,234437.0,1109.0,73634.0
