,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
23,Maine,US,2021-01-02 05:30:44,44.6939,-69.3819,24902,352,11374.0,13176.0,23.0,1852.535165584,1111413.0,,1.4135410810376676,84000023.0,USA,82681.37763983657,,2021-01-01,,
23,Maine,US,2022-01-02 04:32:57,44.6939,-69.3819,146736,1531,,,23.0,10916.135252475056,3426009.0,,1.0433704067168248,84000023.0,USA,254871.1810339441,,2022-01-01,,
23,Maine,US,2021-01-03 05:30:33,44.6939,-69.3819,25245,358,11438.0,13449.0,23.0,1878.051973944586,1112457.0,,1.4181025945731829,84000023.0,USA,82759.04396032769,,2021-01-02,,
23,Maine,US,2022-01-03 02:33:49,44.6939,-69.3819,146736,1531,,,23.0,10916.135252475056,3426009.0,,1.0433704067168248,84000023.0,USA,254871.1810339441,,2022-01-02,,
23,Maine,US,2021-01-04 05:30:45,44.6939,-69.3819,25592,359,11465.0,13768.0,23.0,1903.8663544143333,1112804.0,,1.4027821194123165,84000023.0,USA,82784.85834079744,,2021-01-03,,
23,Maine,US,2022-01-04 04:33:16,44.6939,-69.3819,146736,1531,,,23.0,10916.135252475056,3426009.0,,1.0433704067168248,84000023.0,USA,254871.1810339441,,2022-01-03,,
23,Maine,US,2021-01-05 05:30:33,44.6939,-69.3819,25967,361,11548.0,14058.0,23.0,1931.7637396482105,1133981.0,,1.390226056148188,84000023.0,USA,84360.27947972492,,2021-01-04,,
23,Maine,US,2022-01-05 04:33:14,44.6939,-69.3819,148217,1556,,,23.0,11026.311325892048,3426009.0,,1.0498120998266056,84000023.0,USA,254871.1810339441,,2022-01-04,,
23,Maine,US,2021-01-06 05:30:39,44.6939,-69.3819,26565,369,11582.0,14614.0,23.0,1976.2507699678324,1143104.0,,1.389045736871824,84000023.0,USA,85038.96706769468,,2021-01-05,,
23,Maine,US,2022-01-06 04:33:48,44.6939,-69.3819,149543,1582,,,23.0,11124.956480079036,3426255.0,,1.057889703964746,84000023.0,USA,254889.4817186575,,2022-01-05,,
