,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
36,New York,US,2021-01-02 05:30:44,42.1657,-74.9481,995816,37973,102968.0,854875.0,36.0,5118.939406517912,25504313.0,,3.8132546574869255,84000036.0,USA,131103.5701895401,,2021-01-01,,
36,New York,US,2022-01-02 04:32:57,42.1657,-74.9481,3517696,59585,,,36.0,18082.5299799867,88486794.0,,1.693864393057274,84000036.0,USA,454861.6780238847,,2022-01-01,,
36,New York,US,2021-01-03 05:30:33,42.1657,-74.9481,1011665,38093,103828.0,869744.0,36.0,5200.410351606063,25706759.0,,3.7653768787098496,84000036.0,USA,132144.2331303765,,2021-01-02,,
36,New York,US,2022-01-03 02:33:49,42.1657,-74.9481,3552059,59682,,,36.0,18259.17116151639,88486794.0,,1.6802085776165316,84000036.0,USA,454861.6780238847,,2022-01-02,,
36,New York,US,2021-01-04 05:30:45,42.1657,-74.9481,1023897,38239,104402.0,881256.0,36.0,5263.288299761673,25849104.0,,3.7346529973229727,84000036.0,USA,132875.95006384695,,2021-01-03,,
36,New York,US,2022-01-04 04:33:16,42.1657,-74.9481,3684152,59760,,,36.0,18938.18823196432,88486794.0,,1.6220829108028116,84000036.0,USA,454861.6780238847,,2022-01-03,,
36,New York,US,2021-01-05 05:30:33,42.1657,-74.9481,1035139,38417,104939.0,891783.0,36.0,5321.077205350733,25983464.0,,3.711289015291666,84000036.0,USA,133566.62052772756,,2021-01-04,,
36,New York,US,2022-01-05 04:33:14,42.1657,-74.9481,3736399,59865,,,36.0,19206.7611683023,89369875.0,,1.6022111128923866,84000036.0,USA,459401.10913369537,,2022-01-04,,
36,New York,US,2021-01-06 05:30:39,42.1657,-74.9481,1048281,38563,105379.0,904339.0,36.0,5388.63296030994,26135866.0,,3.678689206424613,84000036.0,USA,134350.03493704827,,2021-01-05,,
36,New York,US,2022-01-06 04:33:48,42.1657,-74.9481,3812399,60023,,,36.0,19597.435143108247,89606779.0,,1.5744154795969676,84000036.0,USA,460618.90159853,,2022-01-05,,
36,New York,US,2021-01-07 05:30:38,42.1657,-74.9481,1064297,38729,105379.0,920189.0,36.0,5470.962360053257,26333682.0,,3.638927855664349,84000036.0,USA,135366.89760810373,,2021-01-06,,
36,New York,US,2022-01-07 04:32:30,42.1657,-74.9481,3890666,60166,,,36.0,19999.762511346893,89955690.0,,1.5464190449655664,84000036.0,USA,462412.4601146289,,2022-01-06,,
36,New York,US,2021-01-08 05:30:47,42.1657,-74.9481,1081885,38933,107243.0,935709.0,36.0,5561.372542538613,26572232.0,,3.5986264713902125,84000036.0,USA,136593.15124876107,,2021-01-07,,
36,New York,US,2022-01-08 04:32:53,42.1657,-74.9481,3975745,60356,,,36.0,20437.106604801043,90333255.0,,1.518105411690136,84000036.0,USA,464353.31300012366,,2022-01-07,,
36,New York,US,2021-01-09 05:30:45,42.1657,-74.9481,1101445,39098,108144.0,954203.0,36.0,5661.919686580775,26816135.0,,3.549700620548461,84000036.0,USA,137846.92170240707,,2021-01-08,,
36,New York,US,2022-01-09 04:32:35,42.1657,-74.9481,4057133,60441,,,36.0,20855.47730824192,90710415.0,,1.489746577201191,84000036.0,USA,466292.0840045686,,2022-01-08,,
36,New York,US,2021-01-10 05:30:28,42.1657,-74.9481,1119284,39288,109035.0,970961.0,36.0,5753.620121272398,27074166.0,,3.5101011003462927,84000036.0,USA,139173.3163917907,,2021-01-09,,
36,New York,US,2022-01-10 04:32:48,42.1657,-74.9481,4147154,60611,,,36.0,21318.22549095253,91136197.0,,1.4615083018378388,84000036.0,USA,468480.7938248426,,2022-01-09,,
36,New York,US,2021-01-11 05:30:40,42.1657,-74.9481,1135592,39450,109982.0,986160.0,36.0,5837.450531550496,27321002.0,,3.4739589570902227,84000036.0,USA,140442.16377659596,,2021-01-10,,
36,New York,US,2022-01-11 04:32:17,42.1657,-74.9481,4205019,60689,,,36.0,21615.67745874393,91537663.0,,1.443251504927802,84000036.0,USA,470544.508534967,,2022-01-10,,
36,New York,US,2021-01-12 05:30:28,42.1657,-74.9481,1149771,39650,110600.0,999521.0,36.0,5910.33693008699,27524906.0,,3.4485127908079085,84000036.0,USA,141490.32148921222,,2021-01-11,,
36,New York,US,2022-01-12 04:32:31,42.1657,-74.9481,4257408,60986,,,36.0,21884.980338561152,91820624.0,,1.4324678301915157,84000036.0,USA,471999.054568981,,2022-01-11,,
36,New York,US,2021-01-13 05:30:34,42.1657,-74.9481,1164562,39835,111141.0,1013586.0,36.0,5986.369282210079,27721577.0,,3.4205993326246262,84000036.0,USA,142501.29834841035,,2021-01-12,,
36,New York,US,2022-01-13 08:24:21,42.1657,-74.9481,4312866,61195,,,36.0,22170.05925033468,92082244.0,,1.4188940718306573,84000036.0,USA,473343.8983227801,,2022-01-12,,
36,New York,US,2021-01-14 05:30:28,42.1657,-74.9481,1179266,40005,112023.0,1027238.0,36.0,6061.954415440957,27918445.0,,3.392364402942169,84000036.0,USA,143513.28787567475,,2021-01-13,,
36,New York,US,2022-01-14 04:32:47,42.1657,-74.9481,4374042,61433,,,36.0,22484.531238265325,92420524.0,,1.4044904004122505,84000036.0,USA,475082.8087464295,,2022-01-13,,
36,New York,US,2021-01-15 05:30:28,42.1657,-74.9481,1193453,40245,112979.0,1040229.0,36.0,6134.881937553747,28131034.0,,3.3721478767911264,84000036.0,USA,144606.09037080663,,2021-01-14,,
36,New York,US,2022-01-15 04:32:46,42.1657,-74.9481,4420245,61654,,,36.0,22722.03531271216,92777223.0,,1.3948095637232778,84000036.0,USA,476916.401064052,,2022-01-14,,
36,New York,US,2021-01-16 05:30:49,42.1657,-74.9481,1212922,40449,113919.0,1058554.0,36.0,6234.96130091555,28455705.0,,3.334839338391092,84000036.0,USA,146275.04445073064,,2021-01-15,,
36,New York,US,2022-01-16 04:32:14,42.1657,-74.9481,4460856,61746,,,36.0,22930.794007328528,93078091.0,,1.3841737998267598,84000036.0,USA,478462.9970831562,,2022-01-15,,
36,New York,US,2021-01-17 05:30:35,42.1657,-74.9481,1228867,40621,114868.0,1073378.0,36.0,6316.925728919246,28732991.0,,3.305565207626212,84000036.0,USA,147700.41844781017,,2021-01-16,,
36,New York,US,2022-01-17 04:32:16,42.1657,-74.9481,4507714,61812,,,36.0,23171.665074584544,93405518.0,,1.371249373851136,84000036.0,USA,480146.11823511386,,2022-01-16,,
36,New York,US,2021-01-18 05:30:33,42.1657,-74.9481,1242561,40809,115901.0,1085851.0,36.0,6387.319010642833,28979498.0,,3.284265319771021,84000036.0,USA,148967.5746255403,,2021-01-17,,
36,New York,US,2022-01-18 04:32:34,42.1657,-74.9481,4547472,62073,,,36.0,23376.038967878427,93803042.0,,1.3650001583297269,84000036.0,USA,482189.56930301856,,2022-01-17,,
36,New York,US,2021-01-19 05:30:28,42.1657,-74.9481,1255971,40991,116502.0,1098478.0,36.0,6456.252405407935,29165703.0,,3.263690005581339,84000036.0,USA,149924.75156605005,,2021-01-18,,
36,New York,US,2022-01-19 04:33:26,42.1657,-74.9481,4571356,62407,,,36.0,23498.813404908236,94007168.0,,1.3651747971499049,84000036.0,USA,483238.86819487705,,2022-01-18,,
36,New York,US,2021-01-20 05:30:46,42.1657,-74.9481,1268692,41184,117052.0,1110456.0,36.0,6521.6440321646,29342972.0,,3.246177953356685,84000036.0,USA,150835.9934718379,,2021-01-19,,
36,New York,US,2022-01-20 04:31:24,42.1657,-74.9481,4594182,62672,,,36.0,23616.14924897298,94185939.0,,1.364160148640171,84000036.0,USA,484157.8310521143,,2022-01-19,,
36,New York,US,2021-01-21 05:30:34,42.1657,-74.9481,1279811,41399,117882.0,1120530.0,36.0,6578.800662768117,29538381.0,,3.234774509673694,84000036.0,USA,151840.4830868755,,2021-01-20,,
