,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
443,New Zealand,2021-01-02 05:22:33,-40.9006,174.886,2162,25.0,2082.0,55.0,New Zealand,44.83400117746281,1.156336725254394,2021-01-01
465,New Zealand,2022-01-02 04:20:52,-40.9006,174.886,14255,51.0,,,New Zealand,295.60993838331746,0.3577692037881445,2022-01-01
443,New Zealand,2021-01-03 05:22:52,-40.9006,174.886,2181,25.0,2084.0,72.0,New Zealand,45.22800951343496,1.1462631820265934,2021-01-02
465,New Zealand,2022-01-03 02:22:25,-40.9006,174.886,14306,51.0,,,New Zealand,296.6675397061901,0.3564937788340556,2022-01-02
444,New Zealand,2021-01-04 05:22:02,-40.9006,174.886,2181,25.0,2084.0,72.0,New Zealand,45.22800951343496,1.1462631820265934,2021-01-03
465,New Zealand,2022-01-04 04:22:17,-40.9006,174.886,14365,51.0,,,New Zealand,297.8910392757878,0.3550295857988165,2022-01-03
444,New Zealand,2021-01-05 05:21:49,-40.9006,174.886,2186,25.0,2100.0,61.0,New Zealand,45.33169591763816,1.1436413540713632,2021-01-04
465,New Zealand,2022-01-05 04:21:59,-40.9006,174.886,14405,51.0,,,New Zealand,298.7205305094134,0.3540437348143005,2022-01-04
444,New Zealand,2021-01-06 05:22:16,-40.9006,174.886,2186,25.0,2100.0,61.0,New Zealand,45.33169591763816,1.1436413540713632,2021-01-05
465,New Zealand,2022-01-06 04:22:09,-40.9006,174.886,14467,51.0,,,New Zealand,300.00624192153305,0.3525264394829612,2022-01-05
444,New Zealand,2021-01-07 05:22:03,-40.9006,174.886,2188,25.0,2101.0,62.0,New Zealand,45.37317047931944,1.1425959780621573,2021-01-06
465,New Zealand,2022-01-07 04:22:09,-40.9006,174.886,14525,51.0,,,New Zealand,301.2090042102901,0.3511187607573149,2022-01-06
444,New Zealand,2021-01-08 05:22:42,-40.9006,174.886,2188,25.0,2101.0,62.0,New Zealand,45.37317047931944,1.1425959780621573,2021-01-07
465,New Zealand,2022-01-08 04:21:53,-40.9006,174.886,14525,51.0,,,New Zealand,301.2090042102901,0.3511187607573149,2022-01-07
444,New Zealand,2021-01-09 05:22:18,-40.9006,174.886,2188,25.0,2101.0,62.0,New Zealand,45.37317047931944,1.1425959780621573,2021-01-08
465,New Zealand,2022-01-09 04:21:46,-40.9006,174.886,14673,51.0,,,New Zealand,304.2781217747048,0.3475771825802494,2022-01-08
444,New Zealand,2021-01-10 05:22:12,-40.9006,174.886,2219,25.0,2119.0,75.0,New Zealand,46.01602618537926,1.1266336187471837,2021-01-09
465,New Zealand,2022-01-10 04:22:07,-40.9006,174.886,14733,51.0,,,New Zealand,305.5223586251432,0.3461616778660151,2022-01-09
444,New Zealand,2021-01-11 05:21:50,-40.9006,174.886,2222,25.0,2120.0,77.0,New Zealand,46.07823802790118,1.125112511251125,2021-01-10
