,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
65,Sao Paulo,Brazil,2021-01-02 05:22:33,-23.5505,-46.6333,1466191,46775.0,1287986.0,131430.0,"Sao Paulo, Brazil",3192.990778184452,3.190239198030816,2021-01-01
65,Sao Paulo,Brazil,2022-01-02 04:20:52,-23.5505,-46.6333,4456469,155213.0,,,"Sao Paulo, Brazil",9705.055085091157,3.4828695094703903,2022-01-01
65,Sao Paulo,Brazil,2021-01-03 05:22:52,-23.5505,-46.6333,1467953,46808.0,1294620.0,126525.0,"Sao Paulo, Brazil",3196.827965666275,3.188657947495594,2021-01-02
65,Sao Paulo,Brazil,2022-01-03 02:22:25,-23.5505,-46.6333,4456581,155216.0,,,"Sao Paulo, Brazil",9705.298992581487,3.4828492963552105,2022-01-02
65,Sao Paulo,Brazil,2021-01-04 05:22:02,-23.5505,-46.6333,1471422,46845.0,1294620.0,129957.0,"Sao Paulo, Brazil",3204.382564630204,3.183654994964056,2021-01-03
65,Sao Paulo,Brazil,2022-01-04 04:22:17,-23.5505,-46.6333,4456745,155216.0,,,"Sao Paulo, Brazil",9705.656142835189,3.48272113392173,2022-01-03
65,Sao Paulo,Brazil,2021-01-05 05:21:49,-23.5505,-46.6333,1473670,46888.0,1314843.0,111939.0,"Sao Paulo, Brazil",3209.278136400429,3.1817163951223817,2021-01-04
65,Sao Paulo,Brazil,2022-01-05 04:21:59,-23.5505,-46.6333,4458689,155242.0,,,"Sao Paulo, Brazil",9709.8896799888,3.481785789500008,2022-01-04
65,Sao Paulo,Brazil,2021-01-06 05:22:16,-23.5505,-46.6333,1486551,47222.0,1324431.0,114898.0,"Sao Paulo, Brazil",3237.3296755340034,3.176614862187708,2021-01-05
65,Sao Paulo,Brazil,2022-01-06 04:22:09,-23.5505,-46.6333,4461651,155242.0,,,"Sao Paulo, Brazil",9709.8896799888,3.481785789500008,2022-01-05
65,Sao Paulo,Brazil,2021-01-07 05:22:03,-23.5505,-46.6333,1501085,47511.0,1324431.0,129143.0,"Sao Paulo, Brazil",3268.9810278954164,3.1651105700210183,2021-01-06
65,Sao Paulo,Brazil,2022-01-07 04:22:09,-23.5505,-46.6333,4464482,155242.0,,,"Sao Paulo, Brazil",9709.8896799888,3.481785789500008,2022-01-06
65,Sao Paulo,Brazil,2021-01-08 05:22:42,-23.5505,-46.6333,1515158,47768.0,1336589.0,130801.0,"Sao Paulo, Brazil",3299.6284396046617,3.152674506553112,2021-01-07
65,Sao Paulo,Brazil,2022-01-08 04:21:53,-23.5505,-46.6333,4467399,155341.0,,,"Sao Paulo, Brazil",9709.8896799888,3.481785789500008,2022-01-07
65,Sao Paulo,Brazil,2021-01-09 05:22:18,-23.5505,-46.6333,1528952,48029.0,1340014.0,140909.0,"Sao Paulo, Brazil",3329.6682603335275,3.141302016021432,2021-01-08
65,Sao Paulo,Brazil,2022-01-09 04:21:46,-23.5505,-46.6333,4471113,155370.0,,,"Sao Paulo, Brazil",9709.8896799888,3.481785789500008,2022-01-08
65,Sao Paulo,Brazil,2021-01-10 05:22:12,-23.5505,-46.6333,1540513,48298.0,1350513.0,141702.0,"Sao Paulo, Brazil",3354.8451754739085,3.1351893817189467,2021-01-09
65,Sao Paulo,Brazil,2022-01-10 04:22:07,-23.5505,-46.6333,4473190,155372.0,,,"Sao Paulo, Brazil",9741.469166750385,3.4734048855514743,2022-01-09
65,Sao Paulo,Brazil,2021-01-11 05:21:50,-23.5505,-46.6333,1546132,48351.0,1360789.0,136992.0,"Sao Paulo, Brazil",3367.0819271540227,3.127223290120119,2021-01-10
65,Sao Paulo,Brazil,2022-01-11 04:22:01,-23.5505,-46.6333,4474109,155384.0,,,"Sao Paulo, Brazil",9743.470514818371,3.472959644031918,2022-01-10
