,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
591,South Africa,2021-01-02 05:22:33,-30.5595,22.9375,1073887,28887.0,887701.0,157299.0,South Africa,1810.6739501412017,2.6899478250504942,2021-01-01
614,South Africa,2022-01-02 04:20:52,-30.5595,22.9375,3468079,91198.0,,,South Africa,5847.505652207122,2.629640212924792,2022-01-01
591,South Africa,2021-01-03 05:22:52,-30.5595,22.9375,1088889,29175.0,897704.0,162010.0,South Africa,1835.9687256622933,2.679336461292198,2021-01-02
614,South Africa,2022-01-03 02:22:25,-30.5595,22.9375,3472436,91228.0,,,South Africa,5854.851961828866,2.6272046482642155,2022-01-02
592,South Africa,2021-01-04 05:22:02,-30.5595,22.9375,1100748,29577.0,903679.0,167492.0,South Africa,1855.9641091381384,2.6869910279191966,2021-01-03
614,South Africa,2022-01-04 04:22:17,-30.5595,22.9375,3475512,91312.0,,,South Africa,5860.038385605887,2.627296352307229,2022-01-03
592,South Africa,2021-01-05 05:21:49,-30.5595,22.9375,1113349,30011.0,911573.0,171765.0,South Africa,1877.210574032237,2.695560870850021,2021-01-04
614,South Africa,2022-01-05 04:21:59,-30.5595,22.9375,3483590,91451.0,,,South Africa,5873.658649348013,2.625194124452074,2022-01-04
592,South Africa,2021-01-06 05:22:16,-30.5595,22.9375,1127759,30524.0,920879.0,176356.0,South Africa,1901.507182168414,2.706606642021921,2021-01-05
614,South Africa,2022-01-06 04:22:09,-30.5595,22.9375,3494696,91561.0,,,South Africa,5892.384404376492,2.619998992759313,2022-01-05
592,South Africa,2021-01-07 05:22:03,-30.5595,22.9375,1149591,31368.0,929239.0,188984.0,South Africa,1938.3179766742448,2.72862261447767,2021-01-06
614,South Africa,2022-01-07 04:22:09,-30.5595,22.9375,3504554,92112.0,,,South Africa,5909.005914647583,2.628351567703052,2022-01-06
592,South Africa,2021-01-08 05:22:42,-30.5595,22.9375,1170590,31809.0,938216.0,200565.0,South Africa,1973.7242552482608,2.7173476622899564,2021-01-07
614,South Africa,2022-01-08 04:21:53,-30.5595,22.9375,3513813,92252.0,,,South Africa,5924.617454878872,2.625410060239404,2022-01-07
592,South Africa,2021-01-09 05:22:18,-30.5595,22.9375,1192570,32425.0,947919.0,212226.0,South Africa,2010.7845916003205,2.7189179670795007,2021-01-08
