,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
352,Tokyo,Japan,2021-01-02 05:22:33,35.711343,139.446921,61105,631.0,50365.0,10109.0,"Tokyo, Japan",438.951794178194,1.0326487194173963,2021-01-01
354,Tokyo,Japan,2022-01-02 04:20:52,35.711343,139.446921,383157,3175.0,,,"Tokyo, Japan",2752.4335586602447,0.8286420449058741,2022-01-01
352,Tokyo,Japan,2021-01-03 05:22:52,35.711343,139.446921,61934,631.0,50861.0,10442.0,"Tokyo, Japan",444.90697030737687,1.0188264927180548,2021-01-02
354,Tokyo,Japan,2022-01-03 02:22:25,35.711343,139.446921,383241,3175.0,,,"Tokyo, Japan",2753.0369781956506,0.8284604204664949,2022-01-02
353,Tokyo,Japan,2021-01-04 05:22:02,35.711343,139.446921,62760,632.0,51295.0,10833.0,"Tokyo, Japan",450.84059573886674,1.0070108349267048,2021-01-03
354,Tokyo,Japan,2022-01-04 04:22:17,35.711343,139.446921,383344,3175.0,,,"Tokyo, Japan",2753.776885483113,0.8282378229475353,2022-01-03
353,Tokyo,Japan,2021-01-05 05:21:49,35.711343,139.446921,63665,634.0,51657.0,11374.0,"Tokyo, Japan",457.34172287627393,0.9958375873713972,2021-01-04
354,Tokyo,Japan,2022-01-05 04:21:59,35.711343,139.446921,383495,3175.0,,,"Tokyo, Japan",2754.8616039336625,0.827911706801914,2022-01-04
353,Tokyo,Japan,2021-01-06 05:22:16,35.711343,139.446921,64980,648.0,52036.0,12296.0,"Tokyo, Japan",466.78811203173296,0.997229916897507,2021-01-05
354,Tokyo,Japan,2022-01-06 04:22:09,35.711343,139.446921,383885,3175.0,,,"Tokyo, Japan",2757.663194633761,0.8270706070828503,2022-01-05
353,Tokyo,Japan,2021-01-07 05:22:03,35.711343,139.446921,66620,656.0,52646.0,13318.0,"Tokyo, Japan",478.5691601039405,0.9846892824977485,2021-01-06
354,Tokyo,Japan,2022-01-07 04:22:09,35.711343,139.446921,384526,3175.0,,,"Tokyo, Japan",2762.2678603741792,0.8256918907954208,2022-01-06
353,Tokyo,Japan,2021-01-08 05:22:42,35.711343,139.446921,69140,667.0,53256.0,15217.0,"Tokyo, Japan",496.67174616611294,0.9647092855076655,2021-01-07
354,Tokyo,Japan,2022-01-08 04:21:53,35.711343,139.446921,385448,3175.0,,,"Tokyo, Japan",2768.891108131847,0.8237168178327556,2022-01-07
353,Tokyo,Japan,2021-01-09 05:22:18,35.711343,139.446921,71599,674.0,53952.0,16973.0,"Tokyo, Japan",514.3361347085264,0.9413539295241554,2021-01-08
354,Tokyo,Japan,2022-01-09 04:21:46,35.711343,139.446921,386672,3175.0,,,"Tokyo, Japan",2777.6837927906163,0.8211093640087723,2022-01-08
353,Tokyo,Japan,2021-01-10 05:22:12,35.711343,139.446921,73931,682.0,54774.0,18475.0,"Tokyo, Japan",531.0882103819337,0.9224817735456032,2021-01-09
354,Tokyo,Japan,2022-01-10 04:22:07,35.711343,139.446921,387895,3175.0,,,"Tokyo, Japan",2786.4692938834887,0.8185204759019837,2022-01-09
353,Tokyo,Japan,2021-01-11 05:21:50,35.711343,139.446921,75441,685.0,55542.0,19214.0,"Tokyo, Japan",541.9353948874418,0.907994326692382,2021-01-10
354,Tokyo,Japan,2022-01-11 04:22:01,35.711343,139.446921,388766,3175.0,,,"Tokyo, Japan",2792.726179780374,0.8166866444082044,2022-01-10
353,Tokyo,Japan,2021-01-12 05:22:15,35.711343,139.446921,76693,689.0,56046.0,19958.0,"Tokyo, Japan",550.9292193913465,0.8983870757435489,2021-01-11
354,Tokyo,Japan,2022-01-12 04:21:44,35.711343,139.446921,389728,3175.0,,,"Tokyo, Japan",2799.636770173949,0.8146707447245258,2022-01-11
353,Tokyo,Japan,2021-01-13 05:22:15,35.711343,139.446921,77718,691.0,56551.0,20476.0,"Tokyo, Japan",558.2923744364762,0.8891119174451221,2021-01-12
354,Tokyo,Japan,2022-01-13 08:00:09,35.711343,139.446921,391926,3175.0,,,"Tokyo, Japan",2815.4262480170664,0.8101019069926466,2022-01-12
353,Tokyo,Japan,2021-01-14 05:22:32,35.711343,139.446921,79198,704.0,57413.0,21081.0,"Tokyo, Japan",568.9240519650536,0.8889113361448522,2021-01-13
354,Tokyo,Japan,2022-01-14 04:21:54,35.711343,139.446921,395050,3176.0,,,"Tokyo, Japan",2837.867707881442,0.803948867231996,2022-01-13
353,Tokyo,Japan,2021-01-15 05:22:24,35.711343,139.446921,80750,707.0,58655.0,21388.0,"Tokyo, Japan",580.0729462382646,0.8755417956656347,2021-01-14
354,Tokyo,Japan,2022-01-15 04:21:07,35.711343,139.446921,399101,3177.0,,,"Tokyo, Japan",2866.9683333329745,0.7960390978724684,2022-01-14
353,Tokyo,Japan,2021-01-16 05:22:40,35.711343,139.446921,82794,717.0,59908.0,22169.0,"Tokyo, Japan",594.7561549331379,0.8660047829552866,2021-01-15
354,Tokyo,Japan,2022-01-16 04:21:12,35.711343,139.446921,403662,3178.0,,,"Tokyo, Japan",2899.732577392327,0.787292338639753,2022-01-15
353,Tokyo,Japan,2021-01-17 05:22:17,35.711343,139.446921,84633,720.0,61555.0,22358.0,"Tokyo, Japan",607.9667326189851,0.850731983977881,2021-01-16
354,Tokyo,Japan,2022-01-17 04:21:08,35.711343,139.446921,407834,3178.0,,,"Tokyo, Japan",2929.7024143174795,0.7792386117881295,2022-01-16
353,Tokyo,Japan,2021-01-18 05:22:34,35.711343,139.446921,86228,725.0,63279.0,22224.0,"Tokyo, Japan",619.4245202257968,0.840794173586306,2021-01-17
354,Tokyo,Japan,2022-01-18 04:21:04,35.711343,139.446921,411553,3179.0,,,"Tokyo, Japan",2956.418095890979,0.7724400016522781,2022-01-17
353,Tokyo,Japan,2021-01-19 05:22:15,35.711343,139.446921,87445,728.0,64099.0,22618.0,"Tokyo, Japan",628.1669199232824,0.8325233003602265,2021-01-18
354,Tokyo,Japan,2022-01-19 04:21:23,35.711343,139.446921,416738,3179.0,,,"Tokyo, Japan",2993.6648850704883,0.7628294036061026,2022-01-18
353,Tokyo,Japan,2021-01-20 05:21:54,35.711343,139.446921,88698,744.0,65169.0,22785.0,"Tokyo, Japan",637.1679279930848,0.838801325847257,2021-01-19
354,Tokyo,Japan,2022-01-20 04:21:07,35.711343,139.446921,424115,3181.0,,,"Tokyo, Japan",3046.658050697729,0.750032420452,2022-01-19
353,Tokyo,Japan,2021-01-21 05:22:01,35.711343,139.446921,89984,754.0,66881.0,22349.0,"Tokyo, Japan",646.4059937375109,0.8379267425320057,2021-01-20
354,Tokyo,Japan,2022-01-21 04:21:09,35.711343,139.446921,432753,3181.0,,,"Tokyo, Japan",3108.7096929219533,0.7350613398405095,2022-01-20
353,Tokyo,Japan,2021-01-22 05:22:10,35.711343,139.446921,91469,761.0,68901.0,21807.0,"Tokyo, Japan",657.0735890955768,0.8319758606741081,2021-01-21
354,Tokyo,Japan,2022-01-22 04:21:13,35.711343,139.446921,442452,3181.0,,,"Tokyo, Japan",3178.383098563625,0.7189480440816179,2022-01-21
353,Tokyo,Japan,2021-01-23 05:22:03,35.711343,139.446921,92653,770.0,70417.0,21466.0,"Tokyo, Japan",665.5789311184388,0.8310578178796153,2021-01-22
