,Unnamed: 0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date,Daily_Deaths,Daily_Cases,Days,Day_Index,Weekday,Dif_Daily_Cases,Dif_Daily_Deaths
322,3169,England,United Kingdom,2020-06-12 05:09:52,52.3555,-1.1743,156018,36883.0,0.0,119135.0,"England, United Kingdom",278.71704908427,23.64022100014101,2020-06-11,,,0,3,Thursday,,
325,3184,England,United Kingdom,2020-06-13 03:33:14,52.3555,-1.1743,156410,37069.0,0.0,119341.0,"England, United Kingdom",279.417334200353,23.699891311297232,2020-06-12,186.0,392.0,1,4,Friday,,
328,3187,England,United Kingdom,2020-06-14 03:33:15,52.3555,-1.1743,156782,37240.0,0.0,119542.0,"England, United Kingdom",280.0818904839828,23.7527267160771,2020-06-13,171.0,372.0,2,5,Saturday,,
331,3187,England,United Kingdom,2020-06-15 03:33:14,52.3555,-1.1743,157074,37266.0,0.0,119808.0,"England, United Kingdom",280.6035314377997,23.725123190343407,2020-06-14,26.0,292.0,3,6,Sunday,,
334,3192,England,United Kingdom,2020-06-16 04:33:09,52.3555,-1.1743,157293,37299.0,0.0,119994.0,"England, United Kingdom",280.9947621531624,23.713070511720165,2020-06-15,33.0,219.0,4,0,Monday,,
337,3190,England,United Kingdom,2020-06-17 04:33:21,52.3555,-1.1743,157545,37524.0,0.0,120021.0,"England, United Kingdom",281.4449454420728,23.817956774254974,2020-06-16,225.0,252.0,5,1,Tuesday,,
340,3193,England,United Kingdom,2020-06-18 04:33:18,52.3555,-1.1743,157797,37692.0,0.0,120105.0,"England, United Kingdom",281.89512873098334,23.88638567273142,2020-06-17,168.0,252.0,6,2,Wednesday,,
343,3194,England,United Kingdom,2020-06-19 04:33:17,52.3555,-1.1743,158078,37812.0,0.0,120266.0,"England, United Kingdom",282.397118826951,23.919837042472704,2020-06-18,120.0,281.0,7,3,Thursday,0.9548543689320389,0.9041980624327233
346,3195,England,United Kingdom,2020-06-20 04:33:19,52.3555,-1.1743,158401,37979.0,0.0,120422.0,"England, United Kingdom",282.9741394710704,23.97649004741132,2020-06-19,167.0,323.0,8,4,Friday,1.1356102461074835,1.2846153846153847
349,3199,England,United Kingdom,2020-06-21 04:33:19,52.3555,-1.1743,158725,38099.0,0.0,120626.0,"England, United Kingdom",283.5529465568124,24.003150102378328,2020-06-20,120.0,324.0,9,5,Saturday,1.1672671127123007,0.9778812572759022
352,3199,England,United Kingdom,2020-06-22 04:33:20,52.3555,-1.1743,158940,38138.0,0.0,120802.0,"England, United Kingdom",283.93703150568444,23.99521832137913,2020-06-21,39.0,215.0,10,6,Sunday,0.8065380493033226,0.3130733944954128
355,3202,England,United Kingdom,2020-06-23 04:33:22,52.3555,-1.1743,159118,38152.0,0.0,120966.0,"England, United Kingdom",284.25501811451807,23.977174172626604,2020-06-22,14.0,178.0,11,0,Monday,0.6827397260273972,0.1148886283704572
358,3207,England,United Kingdom,2020-06-24 04:33:28,52.3555,-1.1743,159328,38427.0,0.0,120901.0,"England, United Kingdom",284.6301708552768,24.11817131954208,2020-06-23,275.0,210.0,12,1,Tuesday,0.8244531688166012,2.131782945736434
361,3220,England,United Kingdom,2020-06-25 05:26:54,52.3555,-1.1743,159435,38568.0,0.0,120867.0,"England, United Kingdom",284.8213201089015,24.190422429203124,2020-06-24,141.0,107.0,13,2,Wednesday,0.45726495726495725,1.1267123287671232
364,3227,England,United Kingdom,2020-06-26 04:33:43,52.3555,-1.1743,159696,38706.0,0.0,120990.0,"England, United Kingdom",285.2875813724159,24.237300871656146,2020-06-25,138.0,261.0,14,3,Thursday,1.1291718170580964,1.080536912751678
367,3228,England,United Kingdom,2020-06-27 04:33:35,52.3555,-1.1743,159958,38888.0,0.0,121070.0,"England, United Kingdom",285.755629077553,24.31138173770615,2020-06-26,182.0,262.0,15,4,Friday,1.1779062299293515,1.4015401540154016
370,3229,England,United Kingdom,2020-06-28 04:34:04,52.3555,-1.1743,160150,38982.0,0.0,121168.0,"England, United Kingdom",286.09862586910384,24.34093037777084,2020-06-27,94.0,192.0,16,5,Saturday,0.9431578947368421,0.7451868629671574
373,3229,England,United Kingdom,2020-06-29 04:33:44,52.3555,-1.1743,160292,39015.0,0.0,121277.0,"England, United Kingdom",286.3523005795217,24.339954582886232,2020-06-28,33.0,142.0,17,6,Sunday,0.735207100591716,0.26339794754846063
376,3231,England,United Kingdom,2020-06-30 04:33:48,52.3555,-1.1743,160391,39036.0,0.0,121355.0,"England, United Kingdom",286.5291583001651,24.338023953962505,2020-06-29,21.0,99.0,18,0,Monday,0.5443833464257659,0.166289592760181
379,3233,England,United Kingdom,2020-07-01 04:33:52,52.3555,-1.1743,160587,39187.0,0.0,121400.0,"England, United Kingdom",286.87930085820653,24.40234888253719,2020-06-30,151.0,196.0,19,1,Tuesday,1.0897537728355837,1.3907894736842106
382,3235,England,United Kingdom,2020-07-02 04:33:46,52.3555,-1.1743,160764,39354.0,0.0,121410.0,"England, United Kingdom",287.1955010254175,24.479361050981563,2020-07-01,167.0,177.0,20,2,Wednesday,0.9322799097065463,1.4872773536895674
384,3238,England,United Kingdom,2020-07-03 04:33:54,52.3555,-1.1743,243910,39434.0,0.0,204476.0,"England, United Kingdom",435.7309761831603,16.16743880939691,2020-07-02,80.0,83146.0,21,3,Thursday,6.91122616192082,0.7692307692307693
386,3243,England,United Kingdom,2020-07-04 04:33:51,52.3555,-1.1743,244412,39567.0,0.0,204845.0,"England, United Kingdom",436.627769877736,16.188648675187796,2020-07-03,133.0,502.0,22,4,Friday,0.041608449570180214,1.3711340206185567
388,3244,England,United Kingdom,2020-07-05 04:33:46,52.3555,-1.1743,244991,39626.0,0.0,205365.0,"England, United Kingdom",437.6621195772565,16.1744717152875,2020-07-04,59.0,579.0,23,5,Saturday,0.047771714147640885,0.6413043478260869
390,3245,England,United Kingdom,2020-07-06 04:33:57,52.3555,-1.1743,245483,39647.0,0.0,205836.0,"England, United Kingdom",438.5410488556055,16.150609207154876,2020-07-05,21.0,492.0,24,6,Sunday,0.040426805648484,0.23259493670886075
