,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,truth_7,truth_8,truth_9,truth_10,truth_11,truth_12,truth_13,truth_14,truth_15,truth_16,truth_17,truth_18,truth_19,truth_20,truth_21,truth_22,truth_23,truth_24,truth_25,truth_26,truth_27,truth_28,truth_29,truth_30,truth_31,truth_32,truth_33,truth_34,truth_35,truth_36,truth_37,truth_38,truth_39,truth_40,truth_41,truth_42,truth_43,truth_44,truth_45,truth_46,truth_47,truth_48,truth_49,truth_50,truth_51,truth_52,truth_53,truth_54,truth_55,truth_56,truth_57,truth_58,truth_59,truth_60,truth_61,truth_62,truth_63,truth_64,truth_65,truth_66,truth_67,truth_68,truth_69,truth_70,truth_71,truth_72,truth_73,truth_74,truth_75,truth_76,truth_77,truth_78,truth_79,truth_80,truth_81,truth_82,truth_83,truth_84,truth_85,truth_86,truth_87,truth_88,truth_89,truth_90,truth_91,truth_92,truth_93,truth_94,truth_95,truth_96,truth_97,truth_98,truth_99,truth_100,truth_101,truth_102,truth_103,truth_104,truth_105,truth_106,truth_107,truth_108,truth_109,truth_110,truth_111,truth_112,truth_113,truth_114,truth_115,truth_116,truth_117,truth_118,truth_119,truth_120,truth_121,truth_122,truth_123,truth_124,truth_125,truth_126,truth_127,truth_128,truth_129,truth_130,truth_131,truth_132,truth_133,truth_134,truth_135,truth_136,truth_137,truth_138,truth_139,truth_140,truth_141,truth_142,truth_143,truth_144,truth_145,truth_146,truth_147,truth_148,truth_149,truth_150,truth_151,truth_152,truth_153,truth_154,truth_155,truth_156,truth_157,truth_158,truth_159,truth_160,truth_161,truth_162,truth_163,truth_164,truth_165,truth_166,truth_167,truth_168,truth_169,truth_170,truth_171,truth_172,truth_173,truth_174,truth_175,truth_176,truth_177,truth_178,truth_179,truth_180,truth_181,truth_182,truth_183,truth_184,truth_185,truth_186,truth_187,truth_188,truth_189,truth_190,truth_191,truth_192,truth_193,truth_194,truth_195,truth_196,truth_197,truth_198,truth_199,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6
0,59,56,70,66,52,51,59,65,59,76,69,73,62,65,50,59,64,77,61,72,65,59,71,64,60,61,66,61,64,53,71,69,58,77,66,63,54,61,83,53,61,51,54,54,74,73,65,70,73,49,50,72,51,62,72,54,68,65,76,65,72,61,65,73,58,61,59,66,63,62,64,62,66,57,54,66,59,71,53,59,64,65,60,77,59,64,75,59,73,75,59,63,51,47,68,55,69,63,64,74,71,65,57,71,53,62,59,66,72,65,59,72,69,48,57,57,57,80,54,54,53,59,67,55,61,57,57,63,75,57,71,66,52,78,58,64,70,68,54,47,66,65,53,72,59,52,57,62,69,58,45,68,61,48,59,72,63,68,79,57,75,70,76,58,77,74,47,63,62,50,61,57,66,64,66,66,63,44,53,67,64,59,57,58,66,59,58,67,62,63,62,70,57,61,54,72,58,74,58,4.813896591308005e-230,1.996589218595539e-191,1.3217103728656993e-222,2.8155857047304768e-188,2.037896312475926,1.8308374624229244e-12,0.0
1,58,67,61,76,62,62,66,53,62,58,81,59,59,63,66,55,54,48,67,54,56,77,62,64,78,47,63,69,57,66,67,57,60,69,64,65,64,65,63,56,62,56,65,68,55,82,60,72,71,67,66,72,66,66,58,76,53,72,61,73,64,55,56,60,55,75,77,63,69,54,60,71,53,61,66,64,75,52,73,55,75,59,50,58,89,69,68,56,65,59,64,71,75,70,56,78,60,71,59,52,72,62,52,66,67,80,58,59,54,63,77,56,61,58,73,58,57,61,73,63,71,62,68,59,62,62,75,63,68,60,62,60,71,65,70,57,71,54,72,62,50,58,52,60,63,73,73,65,66,63,53,62,59,50,68,66,51,71,73,60,54,62,73,63,56,66,74,73,50,67,74,70,41,51,60,56,65,58,55,67,62,62,91,50,63,73,41,74,70,48,62,63,70,60,70,75,69,64,78,2.4752519005543568e-198,4.90338299064527e-176,1.1469736065028901e-182,1.228987567742235e-196,0.295914921844336,8.724507450331084e-07,0.0
2,66,74,53,48,58,62,50,56,74,61,70,63,51,66,57,59,63,54,69,64,74,64,66,66,66,61,61,48,55,65,56,50,58,54,70,68,80,56,67,62,63,47,67,67,59,65,69,72,55,74,65,64,61,72,70,76,54,66,56,65,62,56,63,73,41,63,55,55,67,68,63,57,68,57,53,70,61,73,64,69,60,51,68,79,60,68,62,60,50,53,54,81,65,61,74,58,74,59,69,75,66,56,64,63,64,55,64,65,49,86,63,67,69,66,65,61,61,58,63,67,65,58,66,67,76,57,70,76,47,55,60,55,77,66,72,55,73,85,64,77,63,88,76,57,66,45,63,53,71,52,64,61,70,68,54,80,58,54,78,68,49,68,63,55,59,61,66,47,69,76,67,63,62,55,77,74,73,70,57,66,75,64,56,63,67,70,75,60,55,63,64,52,56,59,65,50,68,52,57,1.6731490645848574e-218,9.232794323832557e-170,6.707781821545826e-155,2.3138004863310597e-220,15.000425982525021,8.400013435883389e-14,0.0
3,51,56,54,70,57,62,55,60,57,52,69,61,69,56,62,51,71,69,71,59,44,47,74,61,53,58,76,58,65,69,58,72,57,54,66,53,72,74,62,52,62,54,72,63,62,51,53,66,57,52,55,55,56,61,67,58,55,66,71,80,54,69,55,58,62,56,59,61,73,72,74,76,75,63,67,75,64,59,67,64,73,69,63,60,71,74,83,74,64,74,87,46,61,58,58,61,54,62,60,68,50,65,59,63,69,57,59,85,68,76,57,74,61,64,54,77,77,56,78,63,53,67,60,67,61,76,57,71,71,63,56,73,50,59,54,57,70,59,62,67,62,51,49,60,73,66,63,53,59,75,72,58,56,65,50,64,75,61,63,61,64,59,65,71,74,60,65,58,69,68,59,61,73,57,70,64,72,67,54,70,69,58,57,59,75,65,70,71,55,75,51,64,60,64,65,71,59,64,64,3.3639785009830806e-212,4.5131583768980104e-219,6.173377087185308e-197,2.0394497823722303e-182,0.589921070967492,3.708108151590631e-12,0.0
4,72,77,60,66,73,69,60,51,56,71,61,72,70,63,63,61,57,65,68,71,67,71,67,68,54,62,60,62,72,51,75,73,83,67,65,57,61,62,66,67,62,66,62,68,64,57,60,58,67,63,74,66,56,74,60,57,67,52,80,57,52,51,55,53,64,58,56,64,81,64,54,56,81,57,66,63,48,62,61,63,64,80,60,60,58,60,68,69,61,56,64,59,76,63,69,73,57,78,59,45,54,60,65,62,59,75,60,58,58,77,57,83,77,75,62,65,61,64,66,67,60,70,56,61,63,64,57,68,59,63,71,59,65,50,67,66,73,76,63,63,59,78,61,57,54,56,66,81,55,54,64,64,58,62,65,54,79,63,76,61,61,54,67,73,69,50,73,62,62,72,56,64,61,58,51,62,57,55,59,70,59,64,64,51,49,58,65,72,76,67,55,64,51,76,67,60,60,69,54,4.521571335942028e-208,2.0517954254556726e-186,1.1228198894156376e-199,2.9503994477288104e-191,14.694035692276449,8.190135811359281e-22,0.0
5,91,78,45,61,71,70,54,66,52,50,65,70,70,73,60,70,57,62,70,56,61,51,67,71,64,55,71,62,59,73,69,53,58,50,63,61,68,69,49,64,60,81,55,61,58,73,69,73,62,62,56,73,51,65,65,70,66,64,70,76,62,58,68,64,71,47,63,70,58,55,65,46,75,53,64,53,69,62,58,77,55,69,57,60,61,57,59,56,67,68,64,50,73,67,73,73,69,69,60,63,69,59,71,69,59,67,62,42,54,52,61,62,70,68,59,52,75,50,79,76,67,71,67,67,54,61,57,61,68,64,54,55,65,57,61,74,78,75,63,56,61,54,65,64,64,61,68,72,66,63,63,55,54,63,61,63,67,57,68,49,58,64,60,76,67,67,62,58,59,69,53,57,57,70,80,60,67,59,48,58,49,57,64,67,56,59,46,52,56,55,55,52,64,64,79,66,61,73,73,5.502134781618318e-201,2.0835850684695017e-188,1.5123754558568503e-188,1.228987567742235e-196,16.457746530089473,1.8821555145165622e-14,0.0
6,76,62,64,74,70,66,55,55,69,52,64,56,57,57,57,59,76,60,73,55,69,51,61,63,70,64,54,63,65,55,65,51,68,54,49,61,76,72,58,63,68,73,75,55,50,55,59,74,59,74,76,61,68,58,53,62,59,54,72,63,56,62,66,68,57,73,61,56,70,59,72,82,60,68,66,66,61,67,68,66,59,66,69,65,69,61,60,55,80,70,63,70,61,64,60,54,57,65,66,75,63,54,80,63,55,75,71,59,62,65,69,67,68,49,68,74,55,82,54,68,55,61,66,72,54,59,58,59,61,56,70,65,57,73,86,55,54,55,68,65,63,70,63,67,73,64,62,59,54,70,67,66,66,48,60,47,56,67,56,78,58,50,71,79,72,58,70,72,58,65,54,76,61,66,51,68,70,63,75,70,57,63,63,67,65,68,70,61,72,67,69,64,74,62,54,62,62,65,53,6.913471421016581e-232,3.837383379328155e-169,2.4118008907076585e-182,2.5671579877195208e-197,1.8499230786204468,1.2891066618776095e-14,0.0
7,50,62,53,57,73,63,72,59,51,49,58,61,50,64,65,64,70,70,70,80,74,54,71,75,69,61,60,54,64,68,65,60,81,68,72,50,72,57,64,76,79,61,56,59,76,50,63,67,52,72,74,52,66,61,69,74,61,63,65,64,59,63,54,69,84,58,74,66,62,56,60,54,64,59,52,58,56,64,59,61,64,62,58,71,61,57,61,55,58,66,62,78,63,69,52,60,64,51,50,73,55,71,63,61,72,66,56,75,56,66,80,74,58,73,70,65,61,63,62,55,73,65,51,68,61,61,74,61,63,66,80,66,51,59,64,59,54,65,62,63,61,55,64,66,61,56,57,83,72,70,52,59,67,68,67,54,56,66,53,58,69,78,66,67,71,67,62,72,69,63,66,49,76,47,56,67,80,70,60,57,63,65,70,57,63,61,61,72,90,56,64,59,70,46,61,67,53,55,64,1.1845304743141161e-200,1.9514305866483228e-184,5.449544651281893e-183,2.861662405746579e-194,16.027725841938913,2.530550639647683e-13,0.0
8,74,77,52,60,55,64,62,56,64,77,76,64,60,62,63,56,69,59,57,76,63,66,73,60,70,51,64,71,60,60,66,63,66,76,68,58,56,59,58,73,65,55,82,61,63,56,69,61,67,57,51,46,64,48,66,63,69,69,73,62,57,55,53,57,85,55,64,72,45,61,72,46,60,65,63,68,73,58,70,69,70,55,66,57,58,60,65,70,68,50,65,52,81,64,63,59,47,81,61,75,61,70,58,65,66,55,69,73,69,56,69,67,73,62,49,66,55,62,75,74,60,63,58,69,62,65,68,70,58,59,62,70,72,74,58,81,63,79,61,61,59,65,71,66,68,75,61,53,67,59,61,56,66,80,56,54,66,63,61,66,53,69,69,61,64,66,57,64,70,63,56,59,61,60,64,65,60,70,51,76,63,59,52,63,64,65,67,80,53,67,63,67,54,63,72,60,74,68,75,2.5478065141036512e-200,5.437200164726258e-177,2.0444900609838135e-180,1.3643434337336468e-190,6.309424557890712,6.847637067582135e-11,0.0
9,61,59,66,62,62,62,60,55,55,69,65,59,62,69,62,74,57,65,69,71,70,50,72,64,56,50,62,71,65,57,71,59,50,65,60,64,76,67,63,66,60,58,67,58,65,54,72,55,66,59,56,58,67,65,72,80,62,52,57,59,58,68,59,54,61,64,68,79,61,64,67,58,55,61,68,59,84,65,66,66,63,48,57,51,47,67,67,69,66,78,70,59,61,67,70,68,47,59,58,63,55,55,70,60,72,67,59,74,57,59,65,51,61,56,74,63,49,85,58,64,59,64,81,68,70,54,70,72,60,64,67,46,60,66,73,63,52,68,47,61,70,61,68,58,66,70,58,63,72,60,69,74,64,59,72,50,70,61,48,72,63,68,51,59,55,74,48,57,80,56,65,42,71,75,74,84,53,62,67,69,48,61,62,54,63,64,76,52,53,71,64,70,52,61,64,63,60,49,60,1.5141487754477977e-212,1.1328039455504473e-176,1.5576695801144667e-218,6.006020561426685e-188,15.930265391719237,1.8821555145165622e-14,0.0
