day,w
1,0.044647674153471
2,0.155475931732947
3,0.200440967290282
4,0.175530224662729
5,0.130042790391015
6,0.089866771724446
7,0.060395795520423
8,0.040544339724824
9,0.027038405246567
10,0.01808958663437
11,0.012246068801781
12,0.008300290384876
13,0.005707694302958
14,0.003932111405335
15,0.002732913746366
16,0.001905890934329
17,0.001347510820877
18,0.000956025601638
19,0.000694575545913
20,0.000502600634151
21,0.000365127244954
22,0.000271319626009
23,0.000202586758493
24,0.00015054135043
25,0.000113604494365
26,8.61185407511828E-05
27,6.61966242395286E-05
28,5.12270594320414E-05
29,3.95876309346097E-05
30,3.07115843628858E-05
31,2.39647967127037E-05
32,1.87515062332288E-05
33,1.47824999819139E-05
34,1.15770462601921E-05
35,9.10502038396814E-06
36,7.24494514926625E-06
37,5.7906112860759E-06
38,4.63909274943916E-06
39,3.70257446125882E-06
40,3.00022608688271E-06
41,2.44599192610843E-06
42,1.99334281768603E-06
43,1.61925594498425E-06
44,1.32552302611674E-06
45,1.08819895300766E-06
46,8.95653477216459E-07
47,7.38576960836822E-07
48,6.08550220041744E-07
49,5.05381351350488E-07
50,4.18384363895556E-07
51,3.48081421003775E-07
52,2.90539005303374E-07
53,2.44152802149123E-07
54,2.0497911743669E-07
55,1.72234356799948E-07
56,1.45554570226265E-07
57,1.22755506567544E-07
58,1.04101230814487E-07
59,8.80389906237504E-08
60,7.45722852260742E-08
