Date,Cases
29/09/2022,1
30/09/2022,3
01/10/2022,4
02/10/2022,15
03/10/2022,31
04/10/2022,60
05/10/2022,44
06/10/2022,39
07/10/2022,120
08/10/2022,158
09/10/2022,77
10/10/2022,228
11/10/2022,215
12/10/2022,263
13/10/2022,198
14/10/2022,148
15/10/2022,130
16/10/2022,167
17/10/2022,176
18/10/2022,163
19/10/2022,162
20/10/2022,205
21/10/2022,214
22/10/2022,232
23/10/2022,189
24/10/2022,238
25/10/2022,260
26/10/2022,317
27/10/2022,303
28/10/2022,396
29/10/2022,443
30/10/2022,366
31/10/2022,314
01/11/2022,422
02/11/2022,410
03/11/2022,352
04/11/2022,352
05/11/2022,424
06/11/2022,407
07/11/2022,351
08/11/2022,437
09/11/2022,472
10/11/2022,392
11/11/2022,450
12/11/2022,408
13/11/2022,298
14/11/2022,328
15/11/2022,400
16/11/2022,413
17/11/2022,426
18/11/2022,421
19/11/2022,410
20/11/2022,426
21/11/2022,287
22/11/2022,400
23/11/2022,374
24/11/2022,400
25/11/2022,370
26/11/2022,363
27/11/2022,347
28/11/2022,334
29/11/2022,419
30/11/2022,377
01/12/2022,394
02/12/2022,352
03/12/2022,295
04/12/2022,363
05/12/2022,289
06/12/2022,304
07/12/2022,266
08/12/2022,201
09/12/2022,241
10/12/2022,224
11/12/2022,208
12/12/2022,203
13/12/2022,244
14/12/2022,187
15/12/2022,227
16/12/2022,227
17/12/2022,201
18/12/2022,213
19/12/2022,200
20/12/2022,227
21/12/2022,234
22/12/2022,234
23/12/2022,229
24/12/2022,204
25/12/2022,206
26/12/2022,175
27/12/2022,176
28/12/2022,209
29/12/2022,200
30/12/2022,200
31/12/2022,197
01/01/2023,149
02/01/2023,214
03/01/2023,265
04/01/2023,282
05/01/2023,273
06/01/2023,279
07/01/2023,264
08/01/2023,216
09/01/2023,220
10/01/2023,273
11/01/2023,272
12/01/2023,249
13/01/2023,244
14/01/2023,271
15/01/2023,241
16/01/2023,278
17/01/2023,243
18/01/2023,258
19/01/2023,211
20/01/2023,205
21/01/2023,187
22/01/2023,166
23/01/2023,167
24/01/2023,193
25/01/2023,225
26/01/2023,216
27/01/2023,183
28/01/2023,167
29/01/2023,169
30/01/2023,193
31/01/2023,198
01/02/2023,205
02/02/2023,153
03/02/2023,147
04/02/2023,121
05/02/2023,135
06/02/2023,142
07/02/2023,170
08/02/2023,177
09/02/2023,168
10/02/2023,135
11/02/2023,140
12/02/2023,141
13/02/2023,154
14/02/2023,153
15/02/2023,140
16/02/2023,173
17/02/2023,140
18/02/2023,128
19/02/2023,120
20/02/2023,128
21/02/2023,158
22/02/2023,130
23/02/2023,135
24/02/2023,104
25/02/2023,149
26/02/2023,96
27/02/2023,91
28/02/2023,129
01/03/2023,91
02/03/2023,104
03/03/2023,122
04/03/2023,106
05/03/2023,94
06/03/2023,102
07/03/2023,83
08/03/2023,74
09/03/2023,109
10/03/2023,101
11/03/2023,113
12/03/2023,77
13/03/2023,77
14/03/2023,79
15/03/2023,99
16/03/2023,72
17/03/2023,64
18/03/2023,72
19/03/2023,56
20/03/2023,57
21/03/2023,95
22/03/2023,66
23/03/2023,97
24/03/2023,73
25/03/2023,78
26/03/2023,72
27/03/2023,52
28/03/2023,52
29/03/2023,65
30/03/2023,70
31/03/2023,33
01/04/2023,32
02/04/2023,44
03/04/2023,35
04/04/2023,46
