Date,Time,Cases
23-Sep,0,4
24-Sep,1,5
25-Sep,2,5
26-Sep,3,7
27-Sep,4,9
28-Sep,5,10
29-Sep,6,4
30-Sep,7,13
1-Oct,8,9
2-Oct,9,20
3-Oct,10,18
4-Oct,11,30
5-Oct,12,29
6-Oct,13,36
7-Oct,14,57
8-Oct,15,48
9-Oct,16,58
10-Oct,17,124
11-Oct,18,150
12-Oct,19,201
13-Oct,20,320
14-Oct,21,438
15-Oct,22,510
16-Oct,23,698
17-Oct,24,689
18-Oct,25,856
19-Oct,26,1104
20-Oct,27,1189
21-Oct,28,1190
22-Oct,29,1143
23-Oct,30,2058
24-Oct,31,1943
25-Oct,32,2319
26-Oct,33,1916
27-Oct,34,1443
28-Oct,35,1424
29-Oct,36,1450
30-Oct,37,1481
31-Oct,38,672
1-Nov,39,557
2-Nov,40,467
3-Nov,41,385
4-Nov,42,379
5-Nov,43,457
6-Nov,44,305
7-Nov,45,337
8-Nov,46,221
9-Nov,47,234
10-Nov,48,115
11-Nov,49,132
12-Nov,50,185
13-Nov,51,240
14-Nov,52,130
15-Nov,53,104
16-Nov,54,100
17-Nov,55,36
18-Nov,56,38
19-Nov,57,26
20-Nov,58,34
21-Nov,59,36
22-Nov,60,50
23-Nov,61,43
24-Nov,62,19
