,date,areaCode,newDeaths28DaysByDeathDate,newDeaths28DaysByPublishDate
0,2022-09-22,E92000001,,422.0
1,2022-09-21,E92000001,,0.0
2,2022-09-20,E92000001,10.0,0.0
3,2022-09-19,E92000001,35.0,0.0
4,2022-09-18,E92000001,33.0,0.0
5,2022-09-17,E92000001,31.0,0.0
6,2022-09-16,E92000001,31.0,0.0
7,2022-09-15,E92000001,41.0,437.0
8,2022-09-14,E92000001,41.0,0.0
9,2022-09-13,E92000001,56.0,0.0
10,2022-09-12,E92000001,46.0,0.0
11,2022-09-11,E92000001,43.0,0.0
12,2022-09-10,E92000001,42.0,0.0
13,2022-09-09,E92000001,47.0,0.0
14,2022-09-08,E92000001,50.0,745.0
15,2022-09-07,E92000001,55.0,0.0
16,2022-09-06,E92000001,50.0,0.0
17,2022-09-05,E92000001,66.0,0.0
18,2022-09-04,E92000001,72.0,0.0
19,2022-09-03,E92000001,53.0,0.0
20,2022-09-02,E92000001,70.0,0.0
21,2022-09-01,E92000001,68.0,0.0
22,2022-08-31,E92000001,92.0,456.0
23,2022-08-30,E92000001,62.0,0.0
24,2022-08-29,E92000001,65.0,0.0
25,2022-08-28,E92000001,78.0,0.0
26,2022-08-27,E92000001,75.0,0.0
27,2022-08-26,E92000001,71.0,0.0
28,2022-08-25,E92000001,69.0,0.0
29,2022-08-24,E92000001,67.0,723.0
30,2022-08-23,E92000001,78.0,0.0
31,2022-08-22,E92000001,85.0,0.0
32,2022-08-21,E92000001,91.0,0.0
33,2022-08-20,E92000001,96.0,0.0
34,2022-08-19,E92000001,76.0,0.0
35,2022-08-18,E92000001,87.0,0.0
36,2022-08-17,E92000001,82.0,895.0
37,2022-08-16,E92000001,106.0,0.0
38,2022-08-15,E92000001,125.0,0.0
39,2022-08-14,E92000001,107.0,0.0
40,2022-08-13,E92000001,130.0,0.0
41,2022-08-12,E92000001,133.0,0.0
42,2022-08-11,E92000001,145.0,0.0
43,2022-08-10,E92000001,116.0,990.0
44,2022-08-09,E92000001,124.0,0.0
45,2022-08-08,E92000001,128.0,0.0
46,2022-08-07,E92000001,128.0,0.0
47,2022-08-06,E92000001,115.0,0.0
48,2022-08-05,E92000001,122.0,0.0
49,2022-08-04,E92000001,120.0,0.0
50,2022-08-03,E92000001,153.0,1075.0
51,2022-08-02,E92000001,148.0,0.0
52,2022-08-01,E92000001,151.0,0.0
53,2022-07-31,E92000001,142.0,0.0
54,2022-07-30,E92000001,129.0,0.0
55,2022-07-29,E92000001,172.0,0.0
56,2022-07-28,E92000001,172.0,0.0
57,2022-07-27,E92000001,145.0,1197.0
58,2022-07-26,E92000001,142.0,0.0
59,2022-07-25,E92000001,147.0,0.0
60,2022-07-24,E92000001,178.0,0.0
61,2022-07-23,E92000001,157.0,0.0
62,2022-07-22,E92000001,148.0,0.0
